Station,Name,Last Report,Time Since Report,Latitude,Longitude,5-min Precip,10-min Precip,30-min Precip,60-min Precip,3-hour Precip,12-hour Precip
6R6,DRYDEN,20250703110000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703110500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703111000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703111500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703112000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703112500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703113000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703113500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703114000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703114500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703115000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703115500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703120000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703120500,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703121000,00:00:00,30.046,-102.2129,0,0,0,0,0,0
6R6,DRYDEN,20250703121500,00:00:00,30.046,-102.2129,0.254,0.254,0.254,0.254,0.254,0.254
6R6,DRYDEN,20250703122000,00:00:00,30.046,-102.2129,0.254,0.508,0.508,0.508,0.508,0.508
6R6,DRYDEN,20250703122500,00:00:00,30.046,-102.2129,1.778,2.032,2.286,2.286,2.286,2.286
6R6,DRYDEN,20250703123000,00:00:00,30.046,-102.2129,1.27,3.048,3.556,3.556,3.556,3.556
6R6,DRYDEN,20250703123500,00:00:00,30.046,-102.2129,0.254,1.524,3.81,3.81,3.81,3.81
6R6,DRYDEN,20250703124000,00:00:00,30.046,-102.2129,0,0.254,3.81,3.81,3.81,3.81
6R6,DRYDEN,20250703124500,00:00:00,30.046,-102.2129,0,0,3.556,3.81,3.81,3.81
6R6,DRYDEN,20250703125000,00:00:00,30.046,-102.2129,0,0,3.302,3.81,3.81,3.81
6R6,DRYDEN,20250703125500,00:00:00,30.046,-102.2129,0,0,1.524,3.81,3.81,3.81
6R6,DRYDEN,20250703130000,00:00:00,30.046,-102.2129,0,0,0.254,3.81,3.81,3.81
6R6,DRYDEN,20250703130500,00:00:00,30.046,-102.2129,0,0,0,3.81,3.81,3.81
6R6,DRYDEN,20250703131000,00:00:00,30.046,-102.2129,0,0,0,3.81,3.81,3.81
6R6,DRYDEN,20250703131500,00:00:00,30.046,-102.2129,0,0,0,3.556,3.81,3.81
6R6,DRYDEN,20250703132000,00:00:00,30.046,-102.2129,0,0,0,3.302,3.81,3.81
6R6,DRYDEN,20250703132500,00:00:00,30.046,-102.2129,0,0,0,1.524,3.81,3.81
6R6,DRYDEN,20250703133000,00:00:00,30.046,-102.2129,0,0,0,0.254,3.81,3.81
6R6,DRYDEN,20250703133500,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703134000,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703134500,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703135000,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703135500,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703140000,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703140500,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703141000,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703141500,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703142000,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
