agency_cd	site_no	dec_lat_va	dec_long_va
USGS	8061540	32.95984447	-96.6144378
USGS	8061548	32.9858611	-96.5564167
USGS	8061551	32.7986111	-96.4941667
USGS	8061750	32.7742947	-96.5035991
USGS	8061970	32.7004229	-96.5313887
USGS	8062000	32.6387442	-96.4852651
USGS	8062095	32.43687778	-96.6902556
USGS	8062500	32.42652988	-96.4630415
USGS	8062575	32.31666667	-96.3593056
USGS	8062700	32.14765255	-96.1024708
USGS	8062800	32.50347129	-96.1127508
USGS	8062895	32.5561111	-96.3388889
USGS	8063030	31.90955833	-96.8814639
USGS	8063040	32.05466944	-96.9065194
USGS	8063048	31.97805556	-96.8733333
USGS	8063050	31.9576568	-96.6894346
USGS	8063100	31.9384908	-96.6813787
USGS	8063460	31.967	-96.4751389
USGS	8063562	32.16465	-96.7620056
USGS	8063590	32.3822222	-96.8505556
USGS	8063800	32.2434807	-96.6402676
USGS	8064100	32.1984823	-96.5202639
USGS	8064570	31.96708333	-96.0471667
USGS	8064700	31.84849638	-96.2899755
USGS	8064990	31.7230361	-95.7591194
USGS	8065000	31.64850597	-95.7894029
USGS	8065080	31.62981667	-95.6342972
USGS	8065200	31.56989618	-95.8882938
USGS	8065310	31.4054861	-95.7643722
USGS	8065330	31.4068455	-95.601896
USGS	8065340	31.34466944	-95.4725778
USGS	8065350	31.33851319	-95.6563407
USGS	8065420	31.31018889	-96.0022278
USGS	8065500	31.0746349	-95.6994155
USGS	8065700	30.93716944	-95.9356611
USGS	8065800	30.8847222	-95.7777778
USGS	8065820	30.949675	-95.7164278
USGS	8065900	30.92581944	-95.52885
USGS	8065925	30.8222611	-95.5946306
USGS	8065950	30.8944111	-95.5144611
USGS	8066000	30.85935514	-95.39883
USGS	8066087	31.13739167	-95.4073028
USGS	8066138	31.10249444	-95.4722167
USGS	8066175	30.88675	-95.0803889
USGS	8066200	30.716306	-94.9588237
USGS	8066250	30.57214544	-94.9488223
USGS	8066300	30.48138889	-94.7797222
USGS	8066380	30.50217778	-95.0312889
USGS	8066500	30.4252067	-94.8507622
USGS	8066850	30.21041667	-94.8690139
USGS	8067000	30.05771539	-94.8182567
USGS	8067070	29.96132898	-94.8102003
USGS	8067250	29.83707778	-94.7635944
USGS	8067252	29.8124434	-94.7313087
USGS	8067280	29.84058056	-94.654225
USGS	8067500	29.97271914	-94.9857602
USGS	8067505	29.82151389	-94.9097056
USGS	8067520	29.8014972	-95.0047444
USGS	8067525	29.77078197	-94.9996503
USGS	8067548	30.6460298	-95.675224
USGS	8067552	30.60388333	-95.7252222
USGS	8067555	30.58396389	-95.5662611
USGS	8067575	30.52829167	-95.6793306
USGS	8067585	30.44693056	-95.6972333
USGS	8067650	30.34215289	-95.542998
USGS	8067653	30.31453889	-95.51145
USGS	8067690	30.37152778	-95.7691389
USGS	8067920	30.25775	-95.5636944
USGS	8068000	30.24465738	-95.4571616
USGS	8068002	30.30150833	-95.4379972
USGS	8068025	30.2413861	-95.3829806
USGS	8068090	30.14116667	-95.3382222
USGS	8068275	30.11993899	-95.6460559
USGS	8068310	30.1703611	-95.5416389
USGS	8068325	30.10549526	-95.5466084
USGS	8068390	30.19055556	-95.4911111
USGS	8068400	30.192159	-95.4838288
USGS	8068450	30.1343832	-95.4777175
USGS	8068500	30.11049517	-95.4363275
USGS	8068720	29.9502237	-95.8082835
USGS	8068740	29.959112	-95.7177249
USGS	8068780	30.01605437	-95.6974463
USGS	8068800	29.97355566	-95.5985545
USGS	8068900	30.00660994	-95.511885
USGS	8069000	30.0357753	-95.428827
USGS	8069500	30.02716385	-95.2579888
USGS	8069800	30.56694444	-95.1913889
USGS	8070000	30.33659809	-95.1040999
USGS	8070200	30.14523056	-95.1246139
USGS	8070220	30.4547972	-95.4236389
USGS	8070500	30.25965789	-95.3024361
USGS	8070550	30.2198111	-95.2492083
USGS	8070900	30.3271611	-95.22665
USGS	8071000	30.2327137	-95.1682662
USGS	8071250	30.12597778	-95.0494861
USGS	8072000	29.91633316	-95.1413198
USGS	8072050	29.87633426	-95.0938189
USGS	8072300	29.74328664	-95.8068951
USGS	8072470	29.7677295	-95.7285594
USGS	8072500	29.76995129	-95.6471682
USGS	8072520	29.7555972	-95.6457306
USGS	8072600	29.76938056	-95.6431667
USGS	8072680	29.8051111	-95.7096111
USGS	8072730	29.8307828	-95.6868912
USGS	8072760	29.86717035	-95.646612
USGS	8073000	29.79133939	-95.6235563
USGS	8073100	29.79027778	-95.6238889
USGS	8073500	29.7618958	-95.6057782
USGS	8073600	29.76217336	-95.5577213
USGS	8073700	29.7468959	-95.5235538
USGS	8074000	29.76022829	-95.4085505
USGS	8074020	29.87078073	-95.4804961
USGS	8074150	29.8513369	-95.4879965
USGS	8074250	29.82800424	-95.469385
USGS	8074500	29.77522777	-95.3971612
USGS	8074540	29.79277778	-95.3680556
USGS	8074760	29.7091197	-95.583 F
USGS	8074800	29.65662136	-95.5621664
USGS	8074810	29.6727317	-95.5282765
USGS	8075000	29.69717469	-95.412162
USGS	8075110	29.71416667	-95.3388889
USGS	8075400	29.61884399	-95.4460522
USGS	8075500	29.67439687	-95.2893807
USGS	8075605	29.65661915	-95.2291011
USGS	8075730	29.69467363	-95.216323
USGS	8075763	29.80883745	-95.3132696
USGS	8075770	29.79328217	-95.2679907
USGS	8075780	29.94911178	-95.5196633
USGS	8075900	29.95688886	-95.4179936
USGS	8076000	29.9182784	-95.3068796
USGS	8076180	29.93386089	-95.2339608
USGS	8076500	29.86189143	-95.3349365
USGS	8076700	29.8371695	-95.2332671
USGS	8076990	29.58546667	-95.3520472
USGS	8076997	29.5968991	-95.2974366
USGS	8077110	29.56640556	-95.3507361
USGS	8077600	29.51745517	-95.178544
USGS	8077640	29.436075	-95.1701306
USGS	8077670	29.38055833	-95.0900528
USGS	8077888	29.4365111	-95.2662889
USGS	8078000	29.37154704	-95.3230673
USGS	8078400	29.28088333	-95.3317917
USGS	8078890	29.61920556	-95.6836083
USGS	8078910	29.57348056	-95.5639333
USGS	8078935	29.352775	-95.5189806
USGS	8079510	33.55477778	-101.7881389
USGS	8079600	33.03843236	-101.1976302
USGS	8080500	33.0081577	-100.1806589
USGS	8080505	33.18791667	-99.9601361
USGS	8080700	34.17896048	-101.7026748
USGS	8080918	33.32430833	-100.9251194
USGS	8082000	33.3339801	-100.2381622
USGS	8082500	33.58092766	-99.2675756
USGS	8082700	33.32926607	-99.4650825
USGS	8082800	33.4089865	-99.3889688
USGS	8083100	32.78760777	-100.3887183
USGS	8083235	32.66191944	-99.9761861
USGS	8083240	32.5985	-99.8145556
USGS	8083420	32.47540219	-99.7492556
USGS	8083430	32.50730556	-99.7410278
USGS	8083480	32.4866111	-99.7145556
USGS	8084000	32.6901186	-99.6695326
USGS	8084100	32.67678588	-99.617031
USGS	8084200	32.795	-99.6056944
USGS	8084800	32.93094435	-99.642588
USGS	8085500	32.93297778	-99.2153889
USGS	8086050	32.55929085	-99.170074
USGS	8086212	32.73289717	-99.1406299
USGS	8086290	32.64845613	-99.0045146
USGS	8086500	32.8370625	-98.9481246
USGS	8087300	32.96068333	-98.7667694
USGS	8088000	33.02428377	-98.6439481
USGS	8088430	33.04351667	-98.4084083
USGS	8088470	32.85163889	-98.6617611
USGS	8088610	32.85817854	-98.411719
USGS	8089000	32.8626236	-98.3025492
